0.0,M23AN,F
0.1,L16,L
0.2,H29,H
0.3,M10DI,F
0.4,L23,L
1.0,H07,H
1.1,L07,L
1.2,M23NE,F
1.3,H33,H
1.4,L21,L
2.0,M13AN,F
2.1,L40,L
2.2,H09,H
2.3,L36,L
2.4,H18,H
3.0,L24,L
3.1,F31NE,F
3.2,H08,H
3.3,L03,L
3.4,H17,H
4.0,L14,L
4.1,F05AN,F
4.2,H27,H
4.3,M29HA,F
4.4,L10,L
5.0,F05HA,F
5.1,L06,L
5.2,H06,H
5.3,L38,L
5.4,H38,H
6.0,L19,L
6.1,F28NE,F
6.2,H30,H
6.3,L22,L
6.4,M23SA,F
7.0,M13NE,F
7.1,L20,L
7.2,H36,H
7.3,L04,L
7.4,M10HA,F
8.0,F16AN,F
8.1,H15,H
8.2,L35,L
8.3,H28,H
8.4,M29DI,F
9.0,H26,H
9.1,F28SA,F
9.2,L17,L
9.3,F05NE,F
9.4,L18,L
10.0,F31AN,F
10.1,H13,H
10.2,L11,L
10.3,H14,H
10.4,L13,L
11.0,M10AN,F
11.1,H40,H
11.2,L39,L
11.3,M23HA,F
11.4,H19,H
12.0,L26,L
12.1,F28AN,F
12.2,H35,H
12.3,M10SA,F
12.4,H37,H
13.0,L09,L
13.1,F28DI,F
13.2,H23,H
13.3,F16SA,F
13.4,H11,H
14.0,H34,H
14.1,M23DI,F
14.2,L08,L
14.3,F31SA,F
14.4,L29,L
15.0,H24,H
15.1,F16NE,F
15.2,L32,L
15.3,H03,H
15.4,F16DI,F
16.0,H25,H
16.1,L34,L
16.2,F05DI,F
16.3,L15,L
16.4,H16,H
17.0,H05,H
17.1,L25,L
17.2,F28HA,F
17.3,H39,H
17.4,L31,L
18.0,L33,L
18.1,H32,H
18.2,M29AN,F
18.3,H31,H
18.4,F16HA,F
19.0,M13DI,F
19.1,L05,L
19.2,H12,H
19.3,F05SA,F
19.4,L01,L
20.0,H04,H
20.1,L37,L
20.2,F31DI,F
20.3,M10NE,F
20.4,H10,H
21.0,L12,L
21.1,M13HA,F
21.2,H21,H
21.3,L27,L
21.4,F31HA,F
22.0,H02,H
22.1,L02,L
22.2,M29SA,F
22.3,H22,H
22.4,M13SA,F
23.0,L28,L
23.1,M29NE,F
23.2,H01,H
23.3,L30,L
23.4,H20,H
